https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume BTC,tradecount
1713139200000,2024-04-15,SOLBTC,0.0023036,0.0023495,0.002129,0.0021835,381149.01,855.17990702,153706
1713052800000,2024-04-14,SOLBTC,0.0021654,0.0023297,0.0020948,0.002305,470330.46,1031.97212612,162107
1712966400000,2024-04-13,SOLBTC,0.0022822,0.002291,0.0019206,0.0021653,738005.3,1572.70323706,225405
1712880000000,2024-04-12,SOLBTC,0.0024618,0.0024785,0.002164,0.002282,368232.42,858.69776083,133662
1712793600000,2024-04-11,SOLBTC,0.0024538,0.002512,0.0024214,0.0024623,179018.75,440.90363212,72030
1712707200000,2024-04-10,SOLBTC,0.0024931,0.0025005,0.0024031,0.0024538,188160.86,462.15122598,80067
1712620800000,2024-04-09,SOLBTC,0.0025227,0.002579,0.0024605,0.0024931,198401.03,497.03983478,77555
1712534400000,2024-04-08,SOLBTC,0.0025885,0.0025886,0.0024865,0.0025229,181787.93,460.49925985,78242
1712448000000,2024-04-07,SOLBTC,0.0025934,0.0026244,0.002563,0.0025885,145158.75,376.67472687,62540
1712361600000,2024-04-06,SOLBTC,0.0025712,0.0026265,0.0025636,0.0025941,176492.17,458.06143266,69806
1712275200000,2024-04-05,SOLBTC,0.0026867,0.0026957,0.0025359,0.0025712,394308.83,1022.16482834,164338
1712188800000,2024-04-04,SOLBTC,0.0028056,0.002824,0.0026725,0.0026866,203156.55,560.5779203,93624
1712102400000,2024-04-03,SOLBTC,0.0027729,0.0028914,0.0027415,0.0028053,296936.08,841.79410032,137537
1712016000000,2024-04-02,SOLBTC,0.0027607,0.002826,0.0027175,0.002773,304248.13,839.73848939,147049
1711929600000,2024-04-01,SOLBTC,0.0028403,0.0028832,0.0027319,0.0027607,301474.84,847.50871943,145604
1711843200000,2024-03-31,SOLBTC,0.0027908,0.0028507,0.0027716,0.0028405,175672.31,492.23654317,80279
1711756800000,2024-03-30,SOLBTC,0.0027492,0.0028573,0.0027336,0.0027908,282057.44,789.83255796,125582
1711670400000,2024-03-29,SOLBTC,0.0026792,0.0027635,0.0026267,0.0027485,270022.86,724.72241108,100309
1711584000000,2024-03-28,SOLBTC,0.0026821,0.0026915,0.0025915,0.0026787,215164.96,568.27348063,98556
1711497600000,2024-03-27,SOLBTC,0.0027211,0.0027294,0.0026251,0.0026823,301193.41,803.64535085,133727
1711411200000,2024-03-26,SOLBTC,0.002704,0.002786,0.002678,0.0027216,249851.76,682.55437344,110809
1711324800000,2024-03-25,SOLBTC,0.0027357,0.0028526,0.002696,0.0027041,310433.08,859.41110043,147273
1711238400000,2024-03-24,SOLBTC,0.0026979,0.0027743,0.0026569,0.0027356,189158.97,512.24784644,88576
1711152000000,2024-03-23,SOLBTC,0.0027453,0.0027716,0.00266,0.0026978,223813.09,608.81265861,104967
1711065600000,2024-03-22,SOLBTC,0.0027397,0.0027572,0.0026575,0.0027452,375057.82,1010.12142131,129577
1710979200000,2024-03-21,SOLBTC,0.0028265,0.0028893,0.0027152,0.0027399,394135.45,1106.14756887,153699
1710892800000,2024-03-20,SOLBTC,0.002742,0.002839,0.0026523,0.0028267,595078.11,1633.91839209,214629
1710806400000,2024-03-19,SOLBTC,0.0028973,0.0029195,0.0026346,0.0027419,938484.15,2636.18053621,335172
1710720000000,2024-03-18,SOLBTC,0.0029505,0.003101,0.0028835,0.002897,599263.73,1790.14266,231702
1710633600000,2024-03-17,SOLBTC,0.0027878,0.0029913,0.0027435,0.0029519,538451.82,1531.44818883,405034
1710547200000,2024-03-16,SOLBTC,0.0026465,0.0028896,0.002588,0.002788,838125.78,2314.78617623,524645
1710460800000,2024-03-15,SOLBTC,0.0024747,0.0027078,0.0024696,0.0026465,1018806.21,2642.91754864,589488
1710374400000,2024-03-14,SOLBTC,0.0022425,0.0024918,0.002236,0.0024743,699239.34,1634.81258334,382137
1710288000000,2024-03-13,SOLBTC,0.0021141,0.0022765,0.002062,0.0022426,494681.76,1065.83794024,237066
1710201600000,2024-03-12,SOLBTC,0.0020649,0.0021669,0.0020392,0.002114,425302.24,892.6858695,290459
1710115200000,2024-03-11,SOLBTC,0.0020943,0.0021075,0.0020148,0.0020647,384794.13,791.93633567,240322
1710028800000,2024-03-10,SOLBTC,0.002112,0.00215,0.002048,0.0020943,228989.03,480.40274366,145407
1709942400000,2024-03-09,SOLBTC,0.0021251,0.0021829,0.0021004,0.002112,166776.74,357.39855082,74450
1709856000000,2024-03-08,SOLBTC,0.0021522,0.0022313,0.002092,0.0021248,384850.68,831.92755863,103473
1709769600000,2024-03-07,SOLBTC,0.0019792,0.0022281,0.0019785,0.0021519,593609.8,1267.01078888,157351
1709683200000,2024-03-06,SOLBTC,0.0019665,0.0020174,0.0019023,0.001979,319080.76,623.86034648,90958
1709596800000,2024-03-05,SOLBTC,0.0019533,0.0021274,0.0017998,0.0019673,618304.66,1225.29226449,185412
1709510400000,2024-03-04,SOLBTC,0.0020637,0.0020887,0.0019037,0.0019527,384656.65,764.05788761,95213
1709424000000,2024-03-03,SOLBTC,0.0020975,0.0021248,0.0020162,0.0020629,258287.39,537.37191712,68882
1709337600000,2024-03-02,SOLBTC,0.0020751,0.002114,0.0020532,0.0020976,219546.92,457.60790825,62282
1709251200000,2024-03-01,SOLBTC,0.0020555,0.0022394,0.0020543,0.0020744,530794.08,1144.56739334,121687
1709164800000,2024-02-29,SOLBTC,0.0019071,0.0021366,0.0018948,0.002055,790147.76,1611.06447495,237961
1709078400000,2024-02-28,SOLBTC,0.0019001,0.0019389,0.0018,0.0019074,496925.11,931.1027333,232293
1708992000000,2024-02-27,SOLBTC,0.0020174,0.002056,0.0018536,0.0018999,309728.9,605.20418199,142614
1708905600000,2024-02-26,SOLBTC,0.0019999,0.0020588,0.0019623,0.0020174,268060.61,538.68123404,128531
1708819200000,2024-02-25,SOLBTC,0.0020168,0.0020182,0.001977,0.002,88961.2,177.66628022,21049
1708732800000,2024-02-24,SOLBTC,0.0019686,0.0020289,0.0019441,0.0020169,126062.74,251.80390576,23911
1708646400000,2024-02-23,SOLBTC,0.0019838,0.0020101,0.0019474,0.0019692,101469.18,201.37649473,24511
1708560000000,2024-02-22,SOLBTC,0.0020261,0.0020655,0.001978,0.0019835,193612.41,391.45412468,35797
1708473600000,2024-02-21,SOLBTC,0.0020728,0.0020736,0.0019717,0.0020261,222914.8,451.10322749,84844
1708387200000,2024-02-20,SOLBTC,0.0021544,0.002164,0.0020146,0.0020727,273444.45,571.64494974,116793
1708300800000,2024-02-19,SOLBTC,0.0021528,0.0021963,0.002125,0.0021544,187969.11,406.04947836,136573
1708214400000,2024-02-18,SOLBTC,0.002109,0.0021965,0.0020934,0.0021528,220893.14,475.8542455,137195
1708128000000,2024-02-17,SOLBTC,0.0021168,0.002138,0.0020719,0.0021089,154515.08,325.41714067,83902
1708041600000,2024-02-16,SOLBTC,0.0021879,0.0021904,0.0020855,0.0021167,208461.69,445.23601756,97006
1707955200000,2024-02-15,SOLBTC,0.002259,0.0022608,0.002163,0.002188,244745.2,541.4082499,141519
1707868800000,2024-02-14,SOLBTC,0.0022632,0.0022975,0.0022334,0.0022591,243305.08,549.40917614,145785
1707782400000,2024-02-13,SOLBTC,0.002237,0.0022984,0.0022362,0.0022633,284467.04,645.84199102,162771
1707696000000,2024-02-12,SOLBTC,0.0022252,0.0022452,0.0021572,0.002237,312252.71,687.01134807,159360
1707609600000,2024-02-11,SOLBTC,0.002283,0.0022908,0.0022248,0.0022251,143449.79,324.4177564,94247
1707523200000,2024-02-10,SOLBTC,0.0022687,0.0023413,0.0022663,0.002283,300087.55,692.14446046,142753
1707436800000,2024-02-09,SOLBTC,0.0022689,0.0022981,0.0022031,0.0022687,342521.96,770.14401989,163195
1707350400000,2024-02-08,SOLBTC,0.0022803,0.0023277,0.002254,0.0022688,256484.84,585.76558416,138864
1707264000000,2024-02-07,SOLBTC,0.0022476,0.0022957,0.0022059,0.0022803,215778.25,483.56222214,92449
1707177600000,2024-02-06,SOLBTC,0.0022395,0.0022685,0.0021798,0.0022475,272572.43,607.50611689,101296
1707091200000,2024-02-05,SOLBTC,0.002242,0.0022724,0.0022235,0.0022395,217315.14,488.63578005,83115
1707004800000,2024-02-04,SOLBTC,0.0022774,0.0022908,0.0022373,0.0022419,114659.93,259.61077479,40961
1706918400000,2024-02-03,SOLBTC,0.00233,0.0023339,0.002252,0.002278,121461.62,278.04604782,27938
1706832000000,2024-02-02,SOLBTC,0.0022707,0.0023745,0.0022619,0.0023283,251951.64,585.80481977,47543
1706745600000,2024-02-01,SOLBTC,0.002277,0.0022957,0.0022211,0.00227,250030.43,564.10494261,50542
1706659200000,2024-01-31,SOLBTC,0.0023611,0.0023691,0.0022677,0.0022788,298224.12,693.63056403,65050
1706572800000,2024-01-30,SOLBTC,0.0023485,0.0024451,0.0023391,0.002362,298498.65,714.91135933,57794
1706486400000,2024-01-29,SOLBTC,0.0022833,0.0023615,0.0022658,0.0023478,245145.74,568.0498473,50387
1706400000000,2024-01-28,SOLBTC,0.0022378,0.002331,0.0022225,0.0022831,372759.34,849.29156163,63690
